fund_id,fund_name,currency_pair,net_position,trade_count,active_trades,weighted_avg_rate,total_volume,first_trade_date,last_trade_date,total_buys,total_sells,unique_traders,traders,unique_counterparties,counterparties,position_status,position_size_category
1,GMF,JPY/USD,2457861376.0,20,0,0.010124,16897868594.0,2013-06-11,2023-12-19,9677864985.0,7220003609.0,2,"ps, VE",1,UBS,LONG,LARGE (>100M)
1,GMF,CNH/USD,111138000.0,12,0,0.160139,3969292000.0,2014-05-08,2022-12-13,2040215000.0,1929077000.0,3,"KT, ps, VE",2,"JPM, UBS",LONG,LARGE (>100M)
1,GMF,EUR/USD,95423009.0,777,0,1.142607,7336780692.67,2013-02-25,2025-06-17,3716101850.84,3620678841.83,8,"AC, kt, KT, mt, MT, ps, PS, VE",11,"BAC, CITI, COBA, CS, DB, DRAX, GS, JPM, MS, RBS, UBS",LONG,MEDIUM (10M-100M)
1,GMF,AUD/USD,-80670831.28,222,0,0.754282,5143378930.02,2013-02-25,2025-06-17,2531354049.36,2612024880.65,7,"kt, KT, mt, MT, ps, PS, VE",9,"CITI, COBA, CS, DB, DRAX, GS, JPM, RBS, UBS",SHORT,MEDIUM (10M-100M)
1,GMF,NOK/USD,-65704840.0,3,0,0.165039,205658520.0,2014-01-27,2014-03-31,69976840.0,135681680.0,1,VE,1,UBS,SHORT,MEDIUM (10M-100M)
1,GMF,EUR/GBP,-63383649.55,11,0,0.831707,114783649.55,2013-06-07,2024-04-24,25700000.0,89083649.55,3,"mt, PS, VE",5,"DB, DRAX, JPM, RBS, UBS",SHORT,MEDIUM (10M-100M)
1,GMF,HKD/USD,46768730.21,15,0,0.128999,76832002.57,2013-11-27,2015-07-08,61800366.39,15031636.18,2,"KT, VE",2,"CS, UBS",LONG,MEDIUM (10M-100M)
1,GMF,USD/CAD,-43581531.21,85,0,1.165215,1272885421.91,2013-06-19,2024-09-11,614651945.35,658233476.56,6,"kt, KT, MT, ps, PS, VE",9,"CITI, COBA, DB, DRAX, GS, JPM, MS, RBS, UBS",SHORT,MEDIUM (10M-100M)
1,GMF,USD/CHF,41993895.52,53,0,0.958741,1082972817.86,2014-01-27,2024-03-19,562483356.69,520489461.17,6,"kt, KT, mt, ps, PS, VE",8,"CITI, COBA, CS, DB, GS, JPM, RBS, UBS",LONG,MEDIUM (10M-100M)
1,GMF,USD/INR,-39905017.05,27,0,70.129651,278977454.95,2015-03-17,2025-02-25,119536218.95,159441236.0,4,"kt, KT, MT, VE",4,"CITI, DRAX, JPM, UBS",SHORT,MEDIUM (10M-100M)
