currency_code,bloomberg_ticker,instrument_type,curve_name,tenor,rate,change_pct,data_available
AUD,ADSO10 Curncy,ois,AUD_OIS,10Y,3.894,-0.8403,True
AUD,ADSO12 Curncy,ois,AUD_OIS,12Y,4.014,-0.8399,True
AUD,ADSO15 Curncy,ois,AUD_OIS,15Y,4.126,-0.7577,True
AUD,ADSO15M Curncy,ois,AUD_OIS,15M,,0.0,False
AUD,ADSO18M Curncy,ois,AUD_OIS,18M,,0.0,False
AUD,ADSO1 Curncy,ois,AUD_OIS,1Y,3.266,-1.5197,True
AUD,ADSO20 Curncy,ois,AUD_OIS,20Y,4.213,-0.6415,True
AUD,ADSO2 Curncy,ois,AUD_OIS,2Y,3.185,-1.6247,True
AUD,ADSO30 Curncy,ois,AUD_OIS,30Y,4.146,-0.6708,True
AUD,ADSO3 Curncy,ois,AUD_OIS,3Y,3.2138,-2.1376,True
AUD,ADSO4 Curncy,ois,AUD_OIS,4Y,3.311,-1.2703,True
AUD,ADSO5 Curncy,ois,AUD_OIS,5Y,3.415,-1.0862,True
AUD,ADSO7 Curncy,ois,AUD_OIS,7Y,3.635,-0.8889,True
AUD,ADSO8 Curncy,ois,AUD_OIS,8Y,3.731,-0.8794,True
AUD,ADSO9 Curncy,ois,AUD_OIS,9Y,3.818,-0.8646,True
AUD,ADSOA Curncy,ois,AUD_OIS,1M,3.6632,-0.7263,True
AUD,ADSOB Curncy,ois,AUD_OIS,2M,3.6245,-0.6169,True
AUD,ADSOC Curncy,ois,AUD_OIS,3M,3.601,-0.2438,True
AUD,ADSOD Curncy,ois,AUD_OIS,4M,3.5165,-1.0384,True
AUD,ADSOE Curncy,ois,AUD_OIS,5M,3.4602,-1.1851,True
AUD,ADSOF Curncy,ois,AUD_OIS,6M,3.4633,0.0029,True
AUD,ADSOG Curncy,ois,AUD_OIS,7M,3.389,-1.1175,True
AUD,ADSOH Curncy,ois,AUD_OIS,8M,3.3385,-1.7105,True
AUD,ADSOI Curncy,ois,AUD_OIS,9M,3.316,-1.6257,True
AUD,ADSOJ Curncy,ois,AUD_OIS,10M,3.3019,-1.5358,True
AUD,ADSOK Curncy,ois,AUD_OIS,11M,3.2852,-1.5302,True
BRL,BPSO10 Curncy,ois,BRL_OIS,10Y,4.016,-1.2176,True
BRL,BPSO15 Curncy,ois,BRL_OIS,15Y,4.298,-0.962,True
BRL,BPSO1 Curncy,ois,BRL_OIS,1Y,3.72895,-1.9729,True
BRL,BPSO20 Curncy,ois,BRL_OIS,20Y,4.443,-0.8653,True
BRL,BPSO2 Curncy,ois,BRL_OIS,2Y,3.586,-2.4218,True
BRL,BPSO30 Curncy,ois,BRL_OIS,30Y,4.504,-0.7383,True
BRL,BPSO3 Curncy,ois,BRL_OIS,3Y,3.575,-2.2682,True
BRL,BPSO5 Curncy,ois,BRL_OIS,5Y,3.6645,-1.881,True
BRL,BPSO7 Curncy,ois,BRL_OIS,7Y,3.799,-1.5165,True
CAD,CDSO10 Curncy,ois,CAD_OIS,10Y,3.0969,-2.1733,True
CAD,CDSO12 Curncy,ois,CAD_OIS,12Y,3.206,-1.9872,True
CAD,CDSO15 Curncy,ois,CAD_OIS,15Y,3.3275,-1.7973,True
CAD,CDSO15M Curncy,ois,CAD_OIS,15M,,0.0,False
CAD,CDSO18M Curncy,ois,CAD_OIS,18M,,0.0,False
CAD,CDSO1 Curncy,ois,CAD_OIS,1Y,2.59945,-2.096,True
CAD,CDSO20 Curncy,ois,CAD_OIS,20Y,3.4119,-1.6744,True
CAD,CDSO2 Curncy,ois,CAD_OIS,2Y,2.593,-2.6652,True
CAD,CDSO30 Curncy,ois,CAD_OIS,30Y,3.339,-1.4899,True
CAD,CDSO3 Curncy,ois,CAD_OIS,3Y,2.647,-2.7196,True
CAD,CDSO4 Curncy,ois,CAD_OIS,4Y,2.6993,-2.6929,True
