currency_code,ON,1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,12M,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,25Y,30Y
AUD,,3.6632,3.6245,3.601,3.5165,3.4602,3.4633,3.389,3.3385,3.316,3.3019,3.2852,,3.185,3.2138,3.311,3.415,3.635,3.894,4.126,4.213,,4.146
BRL,,,,,,,,,,,,,,3.586,3.575,,3.6645,3.799,4.016,4.298,4.443,,4.504
CAD,,2.75,2.7336,2.715,2.69525,2.67205,2.6555,2.64,2.62625,2.6165,2.6091,2.6037,,2.593,2.647,2.6993,2.761,2.903,3.0969,3.3275,3.4119,,3.339
CHF,-0.0327,,,,,,,,,,,,0.5225,,,,,,,,,,
CZK,,,,,,,,,,,,,,3.176,,,,,,,,,
EUR,1.919,,,,,,,,,,,,,,,,,,,,,,
GBP,,4.02806,4.00225,3.98825,3.95035,3.91481,3.88691,3.85565,3.827,3.80411,3.77787,3.7574,,,,3.6095,,,,,,4.5005,
HUF,6.5,,,,,,,,,,,,,,,,,,,,,,
JPY,,0.476565,0.481755,0.49225,0.51525,0.53425,0.55475,0.57175,0.58325,0.59,0.602555,0.61544,,0.7485,0.8315,0.8975,0.9525,1.07375,1.286,1.68625,2.0275,,2.36525
NOK,4.25,,,,,,,,,,,,4.2476,,,,,,,,,,
NZD,,3.15245,3.1025,3.07235,3.05245,3.0265,3.0115,2.994,2.97935,2.97005,2.965,2.9575,,3.0225,3.1575,3.295,3.4275,3.68275,3.96,4.2515,4.407,4.518,
PLN,4.9399999999999995,,,,,,,,,,,,,,,,,,,,,,
SEK,1.891,,,,,,,,,,,,,,,,,,,,,,
TRY,,,,,,,,,,,,,,34.25,32.65,31.55,30.6,,,,,,
USD,4.39,4.32525,4.2705,4.2162,4.15415,4.0835,4.02876,3.9825,3.9345,3.89362,3.85255,3.812,,3.41114,3.3191,3.3165,3.35175,3.47125,3.65175,3.87475,3.966,3.9684,3.92954
