timestamp,pair,spot,tenor,strike_type,delta,volatility,bid,ask
2025-07-12T02:00:50.374316,EURUSD,1.1689,1W,ATM,50,7.55,6.88,8.22
2025-07-12T02:00:50.374316,EURUSD,1.1689,2W,ATM,50,7.5325,7.095,7.97
2025-07-12T02:00:50.374316,EURUSD,1.1689,1M,ATM,50,7.6375,7.485,7.79
2025-07-12T02:00:50.374316,EURUSD,1.1689,2M,ATM,50,7.6175,7.51,7.725
2025-07-12T02:00:50.374316,EURUSD,1.1689,3M,ATM,50,7.5175,7.41,7.625
2025-07-12T02:00:50.374316,EURUSD,1.1689,6M,ATM,50,7.47,7.365,7.575
2025-07-12T02:00:50.374316,EURUSD,1.1689,9M,ATM,50,7.48,7.375,7.585
2025-07-12T02:00:50.374316,EURUSD,1.1689,1Y,ATM,50,7.495,7.39,7.6
2025-07-12T02:00:50.374316,EURUSD,1.1689,1M,10D Put,10,8.26375,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,1M,25D Put,25,7.8175,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,1M,25D Call,75,7.7725,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,1M,10D Call,90,8.12125,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,3M,10D Put,10,8.00375,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,3M,25D Put,25,7.6225000000000005,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,3M,25D Call,75,7.7425,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,3M,10D Call,90,8.22125,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,6M,10D Put,10,7.89875,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,6M,25D Put,25,7.512499999999999,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,6M,25D Call,75,7.797499999999999,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,6M,10D Call,90,8.421249999999999,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,1Y,10D Put,10,7.96875,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,1Y,25D Put,25,7.52,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,1Y,25D Call,75,7.945,,
2025-07-12T02:00:50.374316,EURUSD,1.1689,1Y,10D Call,90,8.75125,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1W,ATM,50,7.855,7.205,8.505
2025-07-12T02:00:50.374316,GBPUSD,1.3493,2W,ATM,50,7.5525,6.825,8.28
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1M,ATM,50,7.77,7.525,8.015
2025-07-12T02:00:50.374316,GBPUSD,1.3493,2M,ATM,50,7.7525,7.535,7.97
2025-07-12T02:00:50.374316,GBPUSD,1.3493,3M,ATM,50,7.7575,7.54,7.975
2025-07-12T02:00:50.374316,GBPUSD,1.3493,6M,ATM,50,7.8675,7.635,8.1
2025-07-12T02:00:50.374316,GBPUSD,1.3493,9M,ATM,50,7.9825,7.775,8.19
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1Y,ATM,50,8.085,7.88,8.29
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1M,10D Put,10,9.017499999999998,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1M,25D Put,25,8.29875,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1M,25D Call,75,7.5962499999999995,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1M,10D Call,90,7.6925,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,3M,10D Put,10,9.14375,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,3M,25D Put,25,8.318750000000001,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,3M,25D Call,75,7.586250000000001,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,3M,10D Call,90,7.73125,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,6M,10D Put,10,9.43625,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,6M,25D Put,25,8.47625,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,6M,25D Call,75,7.71875,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,6M,10D Call,90,7.95875,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1Y,10D Put,10,9.932500000000001,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1Y,25D Put,25,8.791250000000002,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1Y,25D Call,75,7.963750000000001,,
2025-07-12T02:00:50.374316,GBPUSD,1.3493,1Y,10D Call,90,8.307500000000001,,
2025-07-12T02:00:50.374316,USDJPY,147.43,1W,ATM,50,8.6925,7.7,9.685
2025-07-12T02:00:50.374316,USDJPY,147.43,2W,ATM,50,9.515,8.89,10.14
2025-07-12T02:00:50.374316,USDJPY,147.43,1M,ATM,50,9.945,9.545,10.345
2025-07-12T02:00:50.374316,USDJPY,147.43,2M,ATM,50,9.9175,9.655,10.18
2025-07-12T02:00:50.374316,USDJPY,147.43,3M,ATM,50,9.935,9.66,10.21
2025-07-12T02:00:50.374316,USDJPY,147.43,6M,ATM,50,9.9625,9.7,10.225
2025-07-12T02:00:50.374316,USDJPY,147.43,9M,ATM,50,9.9475,9.685,10.21
2025-07-12T02:00:50.374316,USDJPY,147.43,1Y,ATM,50,9.9175,9.655,10.18
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1W,ATM,50,8.2275,7.09,9.365
2025-07-12T02:00:50.374316,AUDUSD,0.6578,2W,ATM,50,8.255,7.46,9.05
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1M,ATM,50,9.03,8.605,9.455
2025-07-12T02:00:50.374316,AUDUSD,0.6578,2M,ATM,50,9.15,8.775,9.525
2025-07-12T02:00:50.374316,AUDUSD,0.6578,3M,ATM,50,9.2625,8.9,9.625
2025-07-12T02:00:50.374316,AUDUSD,0.6578,6M,ATM,50,9.545,9.17,9.92
2025-07-12T02:00:50.374316,AUDUSD,0.6578,9M,ATM,50,9.765,9.415,10.115
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1Y,ATM,50,9.9275,9.565,10.29
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1M,10D Put,10,10.424999999999999,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1M,25D Put,25,9.626249999999999,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1M,25D Call,75,8.89875,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1M,10D Call,90,9.045,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,3M,10D Put,10,10.9725,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,3M,25D Put,25,9.98875,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,3M,25D Call,75,9.10625,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,3M,10D Call,90,9.2425,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,6M,10D Put,10,11.4375,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,6M,25D Put,25,10.31625,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,6M,25D Call,75,9.368749999999999,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,6M,10D Call,90,9.5625,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1Y,10D Put,10,12.1325,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1Y,25D Put,25,10.835,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1Y,25D Call,75,9.745000000000001,,
2025-07-12T02:00:50.374316,AUDUSD,0.6578,1Y,10D Call,90,10.0125,,
2025-07-12T02:00:50.374316,USDCAD,1.3692,1W,ATM,50,5.225,4.75,5.7
2025-07-12T02:00:50.374316,USDCAD,1.3692,2W,ATM,50,5.1925,4.815,5.57
2025-07-12T02:00:50.374316,USDCAD,1.3692,1M,ATM,50,5.45,5.3,5.6
2025-07-12T02:00:50.374316,USDCAD,1.3692,2M,ATM,50,5.4675,5.33,5.605
2025-07-12T02:00:50.374316,USDCAD,1.3692,3M,ATM,50,5.525,5.4,5.65
2025-07-12T02:00:50.374316,USDCAD,1.3692,6M,ATM,50,5.5425,5.43,5.655
2025-07-12T02:00:50.374316,USDCAD,1.3692,9M,ATM,50,5.6075,5.51,5.705
2025-07-12T02:00:50.374316,USDCAD,1.3692,1Y,ATM,50,5.6475,5.54,5.755
2025-07-12T02:00:50.374316,USDCHF,0.7966,1W,ATM,50,7.53,7.055,8.005
2025-07-12T02:00:50.374316,USDCHF,0.7966,2W,ATM,50,7.66,7.285,8.035
2025-07-12T02:00:50.374316,USDCHF,0.7966,1M,ATM,50,7.9125,7.675,8.15
2025-07-12T02:00:50.374316,USDCHF,0.7966,2M,ATM,50,8.0375,7.825,8.25
2025-07-12T02:00:50.374316,USDCHF,0.7966,3M,ATM,50,8.1025,7.89,8.315
2025-07-12T02:00:50.374316,USDCHF,0.7966,6M,ATM,50,8.1425,7.93,8.355
2025-07-12T02:00:50.374316,USDCHF,0.7966,9M,ATM,50,8.2275,8.015,8.44
2025-07-12T02:00:50.374316,USDCHF,0.7966,1Y,ATM,50,8.3075,8.095,8.52
